Date,Currency,Exchange
1/1/2015,USD,1
1/1/2015,CAD,1.1583
1/1/2015,AUD,1.2214
1/1/2015,EUR,0.8237
1/1/2015,GBP,0.6415
1/2/2015,USD,1
1/2/2015,CAD,1.1682
1/2/2015,AUD,1.2323
1/2/2015,EUR,0.8304
1/2/2015,GBP,0.6477
1/3/2015,USD,1
1/3/2015,CAD,1.1682
1/3/2015,AUD,1.2323
1/3/2015,EUR,0.8304
1/3/2015,GBP,0.6477
1/4/2015,USD,1
1/4/2015,CAD,1.1682
1/4/2015,AUD,1.2323
1/4/2015,EUR,0.8304
1/4/2015,GBP,0.6477
1/5/2015,USD,1
1/5/2015,CAD,1.1784
1/5/2015,AUD,1.2384
1/5/2015,EUR,0.8393
1/5/2015,GBP,0.6569
1/6/2015,USD,1
1/6/2015,CAD,1.1763
1/6/2015,AUD,1.2288
1/6/2015,EUR,0.8393
1/6/2015,GBP,0.6582
1/7/2015,USD,1
1/7/2015,CAD,1.183
1/7/2015,AUD,1.2391
1/7/2015,EUR,0.8452
1/7/2015,GBP,0.6612
1/8/2015,USD,1
1/8/2015,CAD,1.1816
1/8/2015,AUD,1.2337
1/8/2015,EUR,0.8498
1/8/2015,GBP,0.6637
1/9/2015,USD,1
1/9/2015,CAD,1.182
1/9/2015,AUD,1.228
1/9/2015,EUR,0.8465
1/9/2015,GBP,0.6602
1/10/2015,USD,1
1/10/2015,CAD,1.182
1/10/2015,AUD,1.228
1/10/2015,EUR,0.8465
1/10/2015,GBP,0.6602
1/11/2015,USD,1
1/11/2015,CAD,1.182
1/11/2015,AUD,1.228
1/11/2015,EUR,0.8465
1/11/2015,GBP,0.6602
1/12/2015,USD,1
1/12/2015,CAD,1.1897
1/12/2015,AUD,1.2282
1/12/2015,EUR,0.8472
1/12/2015,GBP,0.66
1/13/2015,USD,1
1/13/2015,CAD,1.1966
1/13/2015,AUD,1.2257
1/13/2015,EUR,0.8488
1/13/2015,GBP,0.6592
1/14/2015,USD,1
1/14/2015,CAD,1.1965
1/14/2015,AUD,1.2291
1/14/2015,EUR,0.8493
1/14/2015,GBP,0.6584
1/15/2015,USD,1
1/15/2015,CAD,1.1834
1/15/2015,AUD,1.208
1/15/2015,EUR,0.8541
1/15/2015,GBP,0.6553
1/16/2015,USD,1
1/16/2015,CAD,1.2035
1/16/2015,AUD,1.2179
1/16/2015,EUR,0.863
1/16/2015,GBP,0.659
1/17/2015,USD,1
1/17/2015,CAD,1.2035
1/17/2015,AUD,1.2179
1/17/2015,EUR,0.863
1/17/2015,GBP,0.659
1/18/2015,USD,1
1/18/2015,CAD,1.2035
1/18/2015,AUD,1.2179
1/18/2015,EUR,0.863
1/18/2015,GBP,0.659
1/19/2015,USD,1
1/19/2015,CAD,1.1983
1/19/2015,AUD,1.2179
1/19/2015,EUR,0.8617
1/19/2015,GBP,0.6604
1/20/2015,USD,1
1/20/2015,CAD,1.2013
1/20/2015,AUD,1.2197
1/20/2015,EUR,0.8636
1/20/2015,GBP,0.6596
1/21/2015,USD,1
1/21/2015,CAD,1.2075
1/21/2015,AUD,1.2174
1/21/2015,EUR,0.8626
1/21/2015,GBP,0.6617
1/22/2015,USD,1
1/22/2015,CAD,1.2354
1/22/2015,AUD,1.2308
1/22/2015,EUR,0.8607
1/22/2015,GBP,0.6579
1/23/2015,USD,1
1/23/2015,CAD,1.2446
1/23/2015,AUD,1.2653
1/23/2015,EUR,0.893
1/23/2015,GBP,0.6674
1/24/2015,USD,1
1/24/2015,CAD,1.2446
1/24/2015,AUD,1.2653
1/24/2015,EUR,0.893
1/24/2015,GBP,0.6674
1/25/2015,USD,1
1/25/2015,CAD,1.2446
1/25/2015,AUD,1.2653
1/25/2015,EUR,0.893
1/25/2015,GBP,0.6674
1/26/2015,USD,1
1/26/2015,CAD,1.2459
1/26/2015,AUD,1.2653
1/26/2015,EUR,0.8894
1/26/2015,GBP,0.6661
1/27/2015,USD,1
1/27/2015,CAD,1.2458
1/27/2015,AUD,1.2589
1/27/2015,EUR,0.8845
1/27/2015,GBP,0.6609
1/28/2015,USD,1
1/28/2015,CAD,1.2421
1/28/2015,AUD,1.2548
1/28/2015,EUR,0.8815
1/28/2015,GBP,0.6581
1/29/2015,USD,1
1/29/2015,CAD,1.2531
1/29/2015,AUD,1.2846
1/29/2015,EUR,0.8838
1/29/2015,GBP,0.6608
1/30/2015,USD,1
1/30/2015,CAD,1.267
1/30/2015,AUD,1.2857
1/30/2015,EUR,0.8846
1/30/2015,GBP,0.6644
1/31/2015,USD,1
1/31/2015,CAD,1.267
1/31/2015,AUD,1.2857
1/31/2015,EUR,0.8846
1/31/2015,GBP,0.6644
2/1/2015,USD,1
2/1/2015,CAD,1.267
2/1/2015,AUD,1.2857
2/1/2015,EUR,0.8846
2/1/2015,GBP,0.6644
2/2/2015,USD,1
2/2/2015,CAD,1.2672
2/2/2015,AUD,1.2841
2/2/2015,EUR,0.8842
2/2/2015,GBP,0.6654
2/3/2015,USD,1
2/3/2015,CAD,1.2584
2/3/2015,AUD,1.3009
2/3/2015,EUR,0.879
2/3/2015,GBP,0.6628
2/4/2015,USD,1
2/4/2015,CAD,1.2452
2/4/2015,AUD,1.2862
2/4/2015,EUR,0.8737
2/4/2015,GBP,0.6566
2/5/2015,USD,1
2/5/2015,CAD,1.2524
2/5/2015,AUD,1.281
2/5/2015,EUR,0.8764
2/5/2015,GBP,0.6557
2/6/2015,USD,1
2/6/2015,CAD,1.2445
2/6/2015,AUD,1.273
2/6/2015,EUR,0.8736
2/6/2015,GBP,0.6528
2/7/2015,USD,1
