ProductKey,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category
1,Contoso 512MB MP3 Player E51 Silver,Contoso,Silver,$6.62 ,$12.99 ,0101,MP4&MP3,01,Audio
2,Contoso 512MB MP3 Player E51 Blue,Contoso,Blue,$6.62 ,$12.99 ,0101,MP4&MP3,01,Audio
3,Contoso 1G MP3 Player E100 White,Contoso,White,$7.40 ,$14.52 ,0101,MP4&MP3,01,Audio
4,Contoso 2G MP3 Player E200 Silver,Contoso,Silver,$11.00 ,$21.57 ,0101,MP4&MP3,01,Audio
5,Contoso 2G MP3 Player E200 Red,Contoso,Red,$11.00 ,$21.57 ,0101,MP4&MP3,01,Audio
6,Contoso 2G MP3 Player E200 Black,Contoso,Black,$11.00 ,$21.57 ,0101,MP4&MP3,01,Audio
7,Contoso 2G MP3 Player E200 Blue,Contoso,Blue,$11.00 ,$21.57 ,0101,MP4&MP3,01,Audio
8,Contoso 4G MP3 Player E400 Silver,Contoso,Silver,$30.58 ,$59.99 ,0101,MP4&MP3,01,Audio
9,Contoso 4G MP3 Player E400 Black,Contoso,Black,$30.58 ,$59.99 ,0101,MP4&MP3,01,Audio
10,Contoso 4G MP3 Player E400 Green,Contoso,Green,$30.58 ,$59.99 ,0101,MP4&MP3,01,Audio
11,Contoso 4G MP3 Player E400 Orange,Contoso,Orange,$30.58 ,$59.99 ,0101,MP4&MP3,01,Audio
12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Blue,$35.72 ,$77.68 ,0101,MP4&MP3,01,Audio
13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,Black,$35.72 ,$77.68 ,0101,MP4&MP3,01,Audio
14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,Silver,$35.72 ,$77.68 ,0101,MP4&MP3,01,Audio
15,Contoso 4GB Flash MP3 Player E401 White,Contoso,White,$35.72 ,$77.68 ,0101,MP4&MP3,01,Audio
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,White,$50.56 ,$109.95 ,0101,MP4&MP3,01,Audio
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,Red,$50.56 ,$109.95 ,0101,MP4&MP3,01,Audio
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,Green,$50.56 ,$109.95 ,0101,MP4&MP3,01,Audio
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,Pink,$50.56 ,$109.95 ,0101,MP4&MP3,01,Audio
20,Contoso 8GB MP3 Player new model M820 Black,Contoso,Black,$61.62 ,$134.00 ,0101,MP4&MP3,01,Audio
21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,Blue,$61.62 ,$134.00 ,0101,MP4&MP3,01,Audio
22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,Yellow,$61.62 ,$134.00 ,0101,MP4&MP3,01,Audio
23,Contoso 8GB MP3 Player new model M820 White,Contoso,White,$61.62 ,$134.00 ,0101,MP4&MP3,01,Audio
24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Blue,$91.93 ,$199.90 ,0101,MP4&MP3,01,Audio
25,Contoso 16GB Mp5 Player M1600 Black,Contoso,Black,$91.93 ,$199.90 ,0101,MP4&MP3,01,Audio
26,Contoso 16GB Mp5 Player M1600 Green,Contoso,Green,$91.93 ,$199.90 ,0101,MP4&MP3,01,Audio
27,Contoso 16GB Mp5 Player M1600 White,Contoso,White,$91.93 ,$199.90 ,0101,MP4&MP3,01,Audio
